index,title,genres,story_line,cast,director
127,Mom's Coming,"Drama, Horror, Musical","A soul allegedly with a 20-year-old girl as her daughter, whom she wants to take with her and the elder sister's wants to stop the soul from doing so.","Zoya Afroz,Byom",Rishiking
128,The Film House,Drama,"A Story About Multistories Which Have Different Kind of Multi Genre and Shades to Awareness, Education and Motivation to How to Take Risk for Task and How to Achieve Your Goals with Confidence.","Divya Adlakha,Bhawana Arya,Shikha Arya,Mohit Bhatia",Shivam Ak Pathak
129,UnWoman,Drama,Bhanwar a simple man from the village of Rajasthan leads a lonely life. He is further burdened by the overpowering shadow of his dominant uncle Bhairo who mostly decides on Bhanwar's behalf...       »,"Bhagwan Tiwari,Kanak Garg,Sarthak Narula,Girish Pal",Pallavi Roy
130,Bombay,Action,"This is a story of a close knit underworld group where lies, greed, lust and untimely death by murder.Ulas Mhatre is underworld don who operates his activities with his trusted gang members...                See full synopsis »","Gavie Chahal,Deepshikha Nagpal,Danish Bhatt,Ganesh Pai",Sanjay Niranjan
131,Love in A Taxi,Crime,"Three entirely different cab rides in different locations in Mumbai are shown unfolding simultaneously. Each ride is fraught with high drama In one, a promiscuous man manages to book a cab ...       »","Tanima Bhattacharya,Karan Maan,Poonam Pandey,Ashutosh Singh",Rupesh Paul
132,Palak,"Drama, Family",,"Tulika Banerjee,Muskan Khan,Shailendra Kumar,Sheela Sharma",Shailesh Srivastava
133,Behind Veils,Drama,,"Seema Biswas,Ajay Chourey,Ariana Sajnani,Bhagwan Tiwari",Praveen Morchhale
134,Kayo Kayo Colour? (Which Colour?),Drama,"This film follows the life of Razzak and his family through an observational lens. Through a series of everyday events, we follow the family as they navigate through the intertwined yet unassuming layers of social and political influence.",,Shahrukhkhan Chavada
135,Devanand Dheere Dheere,"Drama, Romance",Devanand Dheere Dheere is a Rom-Com based on slices of life. The story of the film revolves around a 45 years old bachelor Devanand who falls in love with a girl almost 20 years younger to him.,"Neelu Kohli,Kundan Kumar,Roma Bali,Shubha Saxena",Satyendra Singh
136,Labour Pain - an unending saga,Drama,"Shankar and Manju, daily wage migrant workers, living miles away from home for work that to them is worship. Our journey with them brings us to the apocalyptic days of an un-foreseen pandemic that upends the lives of millions like them.","Dhanashree Heblikar,Prem Gowda,Krushan Doshi,Siddharth Ahluwallia",Abhijeet Choudhary
137,Bandit Shakuntala,"Action, Biography","Shakuntala grows up in poverty, part of the lowest cast in Indian society. At a young age she decides to improve her position and make a better life for herself through studying hard. But ...       »","Hyder Kazmi,Shadab Rahbar Khan,Shakuntala Mahto,Onkar Das Manikpuri",Hyder Kazmi
138,Pyar Ki Policy,"Comedy, Drama",,"Jolly Bhatia,Manoj Bakshi,Vikas Giri,Girish Thapar",Sudhish Kumar Sharma
139,Paramahans Lakshminath Gosain,Biography,"This Biography Docudrama is about the Legendary Saint of Mythila Paramhans Lakshminath Gosain , Also known as as Bbajee in bihar and mythila region . Laxminath Gosain (Babajee) and Sant ...       »",,Ramesha k Barti
140,Jaaiye Aap Kahan Jaayenge,"Comedy, Drama",,"Karan Aanand,Monal Gajjar,Sanjay Mishra",Nikhil Raj
141,The Dark Face,Action,,"Shibam Samanta,Sanjay Kumar Mishra",Senthilkumar Alamuthu
142,Tantra,Horror,Tantra is an upcoming Bollywood movie. Whose director is Bollywood's famous R. Raja. Actors like Royal Munda OJ and Daizel Carol Cutinho will be seen in the lead roles of the film. The producer of the film is Omkar Jaitly.,"Sargun Mehta,Royal Munda OJ,Daizel Carol Cutinho",Ram Raja Dwivedi
143,Mask,Drama,,,Ashish KumarStar:Brijendra Kala
144,Navras Katha Collage,Drama,,"Alka Amin,Ram Awana,Sheeba Chaddha,Shaji Chaudhary",Praveen Hingonia
145,Devbhoomi,"Drama, Family, Romance",,"Payal Saxena,Rahul Yadav,Abhinav Chauhan",Vikas Phadnis
146,Alien Frank,Drama,,,Gurdev K. AnejaStar:Govind Namdeo
147,Elham,Drama,"The symbiosis of a boy and goat, set around the festival Bakrid.The kid befriends the goat and develops a very special bond though he knows that the goat is brought for a ceremonial sacrifice.","Taiyo Chan,Tot Chan,Mahmood Hashmi,Gunnit Kour",Dhruva Harsh
148,Hide & Seek,Romance,,"Rajvir Singh,Shakti Kumar",
149,The Curse of the Trishul,"Adventure, Thriller",,"Shiv Poddar,Shubham Panjwani,MoonlightNova",Shiv Poddar
150,Kaala Barbarian Chapter 1,Thriller,A surgeon who single-handedly tries to save his patient's life against all odds. Will he be able to protect an innocent family from the twisted plans of an organ trafficking mafia? What hidden truths will he unfold in the process?,"Srikanth Chaparala,Chayanika Chaudhuri,Vishal Chandrakant Jadhav,Pragnan",Jinto Chacko Samuel
151,Agwah,"Crime, Thriller","A mafia men Faizal kidnaps a school girl named riya to blackmail her brother who is a security guard of local MLA. Faizal takes help from kabir in this kidnapping, who is not a regular ...       »","Rajkumar,Sandhya Sharma",
152,Target India,Action,,"Vijay Saxena,Arun Bakshi,Ramesh Goyal,Ali Khan",Vijay Saxena
153,Kaun Ho Tum,Family,Kaun Ho Tum is a commercial film based on friendship. The film is written and directed by Hans Raj Lohra and Hans Raj Lohra is the main protagonist of the film. The film is in Hindi ...       »,"Komal Baha,Dhananjay,Hansika Jha,Naval Kishore",Hans Raj Lohra
154,Hanere Panne - The Dark Chapter,Drama,,"Raj Singh Bhamrah,Tasneem Khan,Parminder Bawa,Rajesh Kumar Chechi",Ravi k Ramdhan
155,Paraagan,"Action, Comedy, Crime",A feisty but down-on-his-luck thug starts rebelling in unexpected ways after his emotionally manipulative boss keeps him trapped and working in a mechanic shop for four years.,"Akku Kulhari,Manik Bahl,Brian Ward,Gautam Gurnani",Akku Kulhari
156,Bhagwa,"History, Thriller",,"Shantanu Bhamare,Himani Singh,Rajat Singh",Sanjay Amaan
157,Shaque- The Doubt!,Thriller,,"Payal Ghosh,Krishna Abhishek,Shantanu Bhamare",Rajeev Chaudhari
158,Eternite,"Adventure, Sci-Fi, Thriller",A boy who makes an AI for his homework but that AI gets out of his control and copies itself in every smart electronic device in the world.,"Shivam Saxena,Lakshya Mishra",Rudra Yadav
159,Kritn Babu,Action,,,
160,Aham Brahmasmi Hindi,Action,"Aham Brahmasmi, the first mainstream Sanskrit film of world cinema is going to release in Hindi for the broad Indian audience. The film is based on the thoughts and philosophy of the great ...       »",,Megastar Maharishi
161,Twinkle,Crime,,"Avi,Sumiran Banerjee,Harish Gupta,Navnita",Pramith Ganguly
162,Nepotism,Drama,,"Devtosh Mukherjee,Jatin Suri,Tanushree Sharma",Devtosh Mukherjee
163,Dhoort,Drama,A fake wants his progeny to be real in a world full of crooks.,"Rakesh Chaturvedi Om,Mithilesh Singh,Simran Nisha,Jeetendra Sharma",Vinay Agrahari
164,Weekdays & Weekends,Drama,"SHAHANA, AAKIL, AGNES AND ERIC GO FOR A WEEKEND HOLIDAY TO KHANDALA TO A HOMESTAY RUN BY TAPTI KHANNA. THEIR IDEA OF LOVE AND LOYALTY GET CHALLENGED THERE.","Shivam Khanna,Arpita Banerjee,Raghav Agrawal,Payal Nair",Sharad Raj
165,Bera: Ek Aghori,"Horror, Romance, Thriller","There used to be an Aghori in a village 500 years ago, who had mastered black magic, he used to perform his art by going to different states of the country, he had such a knowledge, with which he could take the form of anyone.","Prajakta Shinde,Prem Dhiraal,Shakti Veer Dhiraal",Prem Dhiraal
166,Roached,"Fantasy, Mystery","Stuck at home amidst the COVID pandemic, a timid housewife finds her world unraveling due to the constant presence of her overbearing husband and a six legged intruder.","Deeya Dey,Rudolfo Rajeev Hubert,Rohit Pareek,Nishtha Sharma",Kshitij Sharma
167,The Unbelievable Show: Made History,"History, Musical","The Show Made an history two male singers have sung in female voice. In the Indian History First Time, Priyansh Jadav and Manish Jadav Made the Show Historical.",,Priyansh JadavStar:Priyansh Jadav
168,Vo Ladki,"Drama, Romance","Pathik, decides to move on from every memory of Devyani and goes to meet her one last time with a thought of returning the wrist watch.","Dharmendra Ahirwar,Sanit Swami",Praween Kumar Pandey
169,His popular tweet,Music,,"Aditya Arnav,Aman Pandey,Manjoo Rani Shukla,Ranjeet Kumar Shukla",Ranjeet Kumar Shukla
170,Age 29,"Comedy, Drama","This is a comedy drama movie. Story is all about a boy who is a drunker , makes all the efforts (jugaad) to get some wine / whiskey / rum / vodka whatever possible after being forbidden by ...       »","V S Prince Ratan,Amar Shrivastava,Darshan Shrivastava,Ankita",Kuldeep Singh
171,Anurag Kashyap,Thriller,"A scientist brings together a struggling actor, a writer and a movie director for his unique experiment on the human brain. Set against the serene landscape of Benaras, the film delves into...       »",,Abhay SinghStar:Satyakam Anand
172,Beech Mein Mat Bol,Drama,Married life of 60 years old husband and 20 years old wife.,"Jakir Khan,Hansmukh Bhavsar,Mitresh Verma,Parmeshwar Sirsikar",Milan Devmani
173,Meri Awaaz Suno,Drama,,,Sanjiv JaiswalStar:Aniruddh Dave
174,Kaanchi (A Terrible Story),Horror,,"Shree Bishnoi,Trupti Dalvi,Gauri Kadam,Jeet Matharu",Shanky Singhal
175,Mystery of Journey,"Horror, Romance","After forsaking his family and religion, a husband finds his wife is demoniacally possessed.","Noor Ali,Shawar Ali,Noor Ansari,Karishama Chavan",Mangesh Saindane
176,No Tears Left to Cry,"Biography, Drama",Be who you are and say what you feel because those who mind don't matter and those who matter don't mind. Based upon true event.,"Sukriti Gupta,Puneet Kumar Mishra,Bharati Perwani",Saif Baidya
177,Camera Ka Kamaal,Drama,Cinema is an one of the most valuable source for learning. in this film grandson tries to learn his idiot grandson to understand life.,"Jakir Khan,Aarsh Alpesh Upadhyay,Tarika Tripathi",Dr. K.R. Devmani
178,Pandit Asraf,"Action, Crime, Drama",,"Manish Thakur,Yasmeen,Shilpi Bahadur,Shashi Sharma",Sunny Prajapati
179,Rudra the Power,Action,"Summary of the film;- This story is about dance bars. How a bar girl at the dance bar lives her life, what problems she faces, the disputes happening between the dance bar owners and the ...       »",,Abhijeet
180,Zindagi Tere Naan,Romance,,"Hasim Khan,Soheil Khan,Jaya Pandey,Tiger Raja",Anil Pandit
181,New York to Haridwar,Comedy,,"Payal Ghosh,Shantanu Bhamare",Rajeev Chaudhari
182,Teri Meri Kahaani,Musical,,,Regan DaduStar:Arpan Singh
183,The Invisible Hubby,Action,,,Ketan PendaseStar:Madhulika Bhattacharya
184,Jadhav Pandit,Thriller,,"Alabhya Singh,Adamya Tripathi,JaiKrishna Goswami",
185,Born Fire: Ek Agg,Action,When Nando's father got killed he decides to find out the reason of this father's death but he found a tribe village named as Mahasu,"Gulzaar Chhaniwala,Kk Taharpuriya",Kk Taharpuriya
186,The Mystic Father,Comedy,"Sunny, a 21-year old got to know he possesses a womb and can be pregnant. He and his friend tries to solve this unusual situation.","Rehan Katrawale,Jhanvi Malhotra,Anil Mathur,Abhishek Singh Rajput",Abhimanyu Rajput
187,Gandhi vs Aazaad,History,,"Megastar Maharishi,Rubika Liyaquat",Megastar Maharishi
188,Ruhani Ishq,Romance,Ruhani Ishq is basically a romance genre film with the tagline Ho Bhi Jata To Kya Tha. Ruhani Ishq is a romantic film that unites Umesh and Sandeep for the primary time.,"Manish Bambha,Saksham Bambha,Manoj Dogra,Harjinder Kaur",Yogesh Mishra
189,Sorry Mother,"Drama, History",,"Shantanu Bhamare,Anu Singh",Sanjay Amaan
190,Lazarus Herofication,Biography,"Some people who create conflicts for themselves. A cart loader fights for a meager load of gravel, A guy does foolish things in Love, A girl understands the importance of the Idea of God, A...       »","Rashmi,Abhishek Hazari,Vinay Kumar,Pankaj Kumar",Dev Khajuriya
191,Ek Naya Sawera,Biography,,"Sikandar Khan,Vikas Mahante",Sabbir Qureshi
192,See You in Hell,Thriller,5 DIRECTORS - 5 KINDS OF FEAR. Are you ready? To witness ''HELL'',,Rahul Chakraborty
193,Soo Jaa Mukesh,Drama,,"Vikrant Verma,Ritik Chaudhary,Ananya,Sanchita Das",Devvrat Mishra
194,Marne Ke Dar Se Mere Dil,Thriller,"One fateful night , Samadhan reluctantly goes to the police station to report a dead body he saw on his society pavement, But silly inspector is suspecting him as a murderer instead, more complications waiting to push him to the brink","Priyasha Bhardwaj,Krishnakant Singh Bundela,Sunil Godabole,Sunil Holkar",
195,Aaj Mere Pyaar Ki Shadi Hai,Drama,,,Feroz KhanStar:Pawan Singh
196,Naari Ek Prerna,Family,,"Ziya Singh,Nanadlal Singh,Chanchlesh Singh,Sngeeta Singh",Pravin Kumar Kataria
197,The Face of the Faceless by Tri Light Creation,Drama,,,
198,Jhansa the Lollypop,Drama,This is a story of girl looking for a trainee job to experience working life but she caught up with fraud company.,"Abhimanyu Chauhan,Farheen Khan",Abhimanyu Chauhan
199,Smart Killer,"Drama, Family","""Smart Killer""is the story of a business tycoon family's two brothers Vijay & Arjun Ranawat, who have enemity with a Criminal Don Kabir Chopra. Kabir forcefully wants the partnership in ...                See full synopsis »","Atsede Addy Ethio,Hemant Birje,Raj Chaubey,Pinky Chinoy",
200,Secret Eyes,Thriller,,"Ravi Kishan,Riva Arora,Gulshan Grover,Bhoomika Kalita",Shawn Arranha
201,Zwigato,Drama,"A man works as a food delivery rider, grappling with the world of ratings and incentives. To support the income, his homemaker wife begins to explore different work opportunities, with fear but also excitement of a new found independence.","Kapil Sharma,Shahana Goswami,Tushar Acharya,Zishan Ali",Nandita Das
202,Doragon bôru sûpâ: Sûpâ hîrô,"Animation, Action, Adventure",The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.,"Masako Nozawa,Aya Hisakawa,Ryô Horikawa,Takeshi Kusao",Tetsuro Kodama
203,Bhediya,"Comedy, Horror, Thriller","Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue.","Varun Dhawan,Kriti Sanon,Abhishek Banerjee,Deepak Dobriyal",Amar Kaushik
204,Drishyam 2,"Crime, Drama, Mystery",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,"Ajay Devgn,Akshaye Khanna,Tabu,Shriya Saran",Abhishek Pathak
205,Freddy,"Drama, Mystery, Romance",The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.,"Kartik Aaryan,Alaya F,Karan Pandit,Sajjad Delafrooz",Shashanka Ghosh
206,Lost,"Drama, Thriller","An emotional thriller that represents a higher quest, a search for lost values of empathy and integrity.","Yami Gautam,Piaa Bajpai,Rohit Basfore,Yogesh Bhardwaj",Aniruddha Roy Chowdhury
207,An Action Hero,"Action, Comedy, Crime","Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.","Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav,Gautam Joglekar",Anirudh Iyer
